Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceinIndia
Opel Ampera-e,Battery Electric Vehicle |       58 kWh,7.3 sec,150 km/h,335 km,173 Wh/km,210 km/h,Front Wheel Drive,5,"€ 42,990",N/A,"? 1,03,435"
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle |       31 kWh,22.4 sec,130 km/h,160 km,194 Wh/km,-,Front Wheel Drive,5,N/A,"£31,680",N/A
Nissan Leaf,Battery Electric Vehicle |       36 kWh,7.9 sec,144 km/h,220 km,164 Wh/km,230 km/h,Front Wheel Drive,5,"€ 29,990","£25,995","? 67,998"
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,375 km,231 Wh/km,600 km/h,All Wheel Drive,5,N/A,"£79,900","? 2,76,755"
Porsche Taycan Turbo S,Battery Electric Vehicle |       83.7 kWh,2.8 sec,260 km/h,390 km,215 Wh/km,860 km/h,All Wheel Drive,4,"€ 1,86,336","£138,830","? 2,56,939"
Nissan e-NV200 Evalia,Battery Electric Vehicle |       36 kWh,14.0 sec,123 km/h,165 km,218 Wh/km,170 km/h,Front Wheel Drive,7,"€ 43,433","£30,255","? 1,72,358"
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle |       45 kWh,8.9 sec,160 km/h,275 km,164 Wh/km,260 km/h,Rear Wheel Drive,5,"€ 31,960","£27,120","? 2,55,019"
BMW iX3,Battery Electric Vehicle |       74 kWh,6.8 sec,180 km/h,385 km,192 Wh/km,520 km/h,Rear Wheel Drive,5,"€ 66,300","£58,850","? 2,52,871"
Nissan Leaf e+,Battery Electric Vehicle |       56 kWh,7.3 sec,157 km/h,325 km,172 Wh/km,390 km/h,Front Wheel Drive,5,"€ 38,350","£30,445","? 2,95,261"
BMW i3 120 Ah,Battery Electric Vehicle |       37.9 kWh,7.3 sec,150 km/h,235 km,161 Wh/km,270 km/h,Rear Wheel Drive,4,"€ 39,000","£31,305","? 2,59,161"
Mercedes EQA 250,Battery Electric Vehicle |       66.5 kWh,8.9 sec,160 km/h,355 km,187 Wh/km,420 km/h,Front Wheel Drive,5,"€ 47,541","£43,495","? 1,46,486"
DS 3 Crossback E-Tense,Battery Electric Vehicle |       45 kWh,8.7 sec,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,"€ 30,040","£31,500","? 1,80,449"
BMW i3s 120 Ah,Battery Electric Vehicle |       37.9 kWh,6.9 sec,160 km/h,230 km,165 Wh/km,260 km/h,Rear Wheel Drive,4,"€ 42,600","£32,305","? 2,65,226"
Sono Sion,Battery Electric Vehicle |       47 kWh,9.0 sec,140 km/h,260 km,181 Wh/km,310 km/h,Front Wheel Drive,5,"€ 25,500",N/A,"? 2,11,710"
